Symbol,Name, LastSale , MarketCap ,IPOyear,Sector,Industry,StockUrl
PIH,"1347 Property Insurance Holdings, Inc.",$7.10 , $42.49M ,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih
TURN,180 Degree Capital Corp.,$1.80 , $56.02M ,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",$10.85 , $700.23M ,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),$19.25 , $155.6M ,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,$49.59 , $1.29B ,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",$7.87 , $878.69M ,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",$72.66 , $3.79B ,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
JOBS,"51job, Inc.",$64.09 , $3.96B ,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
CAFD,8point3 Energy Partners LP,$12.26 , $969.63M ,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,$17.75 , $1.64B ,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",$15.75 , $353.68M ,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",$37.15 , $1.1B ,1972,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",$33.90 , $1.78B ,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
ABAX,"ABAXIS, Inc.",$65.51 , $1.49B ,1992,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/abax
ABEO,Abeona Therapeutics Inc.,$11.90 , $556.63M ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,$7.20 , n/a ,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,$0.38 , $9.81M ,2014,Finance,Business Services,https://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",$233.99 , $10.36B ,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd
ABLX,Ablynx NV,$53.99 , $4.05B ,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ablx
AXAS,Abraxas Petroleum Corporation,$2.13 , $353.35M ,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,$11.50 , $654.61M ,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",$38.21 , $1.5B ,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,$3.60 , $182.18M ,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",$34.24 , $3.01B ,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc
